	Structure	Count	Fragment	Test Frag	Count	Fragment	Test Frag	Count	Fragment	Test Frag	Count	Fragment	Test Frag	Count	Fragment	Test Frag	Count	Fragment	Test Frag
Cyanates		1	N=C=O   AA	-N=C=O [aliphatic attach]	1	H      NA	H [nitrogen attach]												
Nitro		1	R        AA		1	N(=O)	-N(=O)	1	O       NA	-O- [nitrogen attach]									
Nitrite		1	[O-]	-[O-]	1	C=O   OTHER	"C=O(non-ketone, aliphatic attach)"												
Nitroso		1	CH3   AA	-CH3 [aliphatic attach]	1	N(=O)	-N(=O)												
Peroxide		2	OH    OA	-OH [oxygen attach]															
Sulfate		1	OH    SA	-OH [sulfur attach]	1	S(=O)(=O)     AA	-S(=O)(=O)- [aliphatic attach]	1	[O-]	-[O-]									
Sulfones		2	R       AA		1	S(=O)(=O)     AA	-S(=O)(=O)- [aliphatic attach]												
Sulfonate Ester		1	R       AA		1	S(=O)(=O)     AA	-S(=O)(=O)- [aliphatic attach]	1	O										
Sulfoxide		2	R       AA		1	S(=O)             AA	-S(=O)- [aliphatic attach]												
Phosphorane		5	R        AA		1	P [+5 valence e All single]	"P [+5 valence, all single bonds]"												
Phosphorine		5	ArCH	-CH< [aromatic attach]	1	P	P												
Phosphazene		2	R                  AA		1	P=N	P=N												
Phosphonium		4	CH2              AA	-CH2- [aliphatic attach]	4	OH                  AA	-OH [aliphatic attach]	1	P	P									
Phospate		3	[O-]	-O- [phosphorus attach]	1	P(=O)	P(=O)												
Phospate		3	[O-]	-O- [phosphorus, aromatic attach]	1	P(=O)	P(=O)												
Phosphinite		1	CH3               AA	-CH3 [aliphatic attach]	1	OH                  PA	-OH [phosphorus attach]	2	ArC	AC	1	ArH		1	P [+3 valence e all single] 	"P [+3 valence, all single bonds]"			
Acyl Phosphate		1	C(=O) O-	-C(=O)- [phosphorus attach]	1	CH3                 AA	-CH3 [aliphatic attach]	1	[O-]	-[O-]	1	(=O)		1	P(=O)	P(=O)			
Phosphite		3	[O-]	-[O-]	1	P[=3 valence e all single]	"P [+3 valence, all single bonds]"												
Phosphodiester		2	R                  AA		2	O                       PA	-O- [phosphorus attach]	1	[O-]	-[O-]	1	P(=O)	P(=O)						
Phosphoric		3	OH               PA	-OH [phosphorus attach]	1	P(=O)	P(=O)												
Hypophosphorous		1	OH               AA	-OH [aliphatic attach]	1	P(=O)	P(=O)												
Diphosphene		2	R                   AA		2	P	P												
Phosphine		1	P	P															
Phosphide		1	X                   AA		2	H                              PH	H [phosphorus attach]	1	P [+3 valence e all single] 	"P [+3 valence, all single bonds]"									
Thial		1	C(=S)-                  AA	-C(=S)- [aliphatic attach]	1	R                              AA		1	H                            CA	H [carbon attach]									
Sulfonium		3	CH3                   AA	-CH3 [aliphatic attach]															
Thione		2	R                        AA		1	C(=S)                        AA	-C(=S)- [aliphatic attach]												
Thiols		1	R                        AA		1	SH                             AA	-SH [aliphatic attach]												
Sulfide																			
Thiazole		3	ArCH	ACH	1	ArN	AN	1	ArS	AS									
Thiocyanate		1	C#N            alphaticSA	-C#N [aliphatic sulfur attach]	1	S                                AA	-S- [aliphatic attach]												
Sulfenic		1	R                          AA		1	OH                            SA	-OH [sulfur attach]	1	S-                                AA	-S- [aliphatic attach]									
Tetrathionate																			
Disulfide		2	R                          AA		2	S                                SA	-S- [sulfur attach]												
Thieno		1	CH2                     AA	-CH2- [aliphatic attach]	1	CH2                           ArA	-CH2- [aliphatic attach]	1	S-                             ArA	-S- [aromatic attach]	2	ArC       	AC	2	ArCH                                	ACH	1	ArS	AS
